time,tmin,tmax,tavg,prcp,llueve
2015-01-08,17.4,27.3,22.6,0.0,0
2015-01-11,16.6,32.0,23.3,24.9,1
2015-01-13,19.3,31.8,22.9,42.9,1
2015-01-27,18.6,33.5,23.7,299.7,1
2015-01-28,17.0,29.4,22.4,7.1,1
2015-01-29,18.3,29.0,20.8,0.0,0
2015-02-17,16.8,29.5,22.3,0.0,0
2015-02-20,9.6,22.3,15.6,0.0,0
2015-02-26,15.9,24.6,18.2,4.1,1
2015-02-27,16.4,20.5,18.0,4.1,1
2015-02-28,16.6,19.6,17.9,25.9,1
2015-03-21,12.7,32.4,18.4,2.0,1
2015-03-22,11.4,20.4,16.1,0.0,0
2015-03-25,12.5,16.0,13.6,27.9,1
2015-03-31,11.7,26.5,18.3,19.1,1
2015-04-04,17.3,32.5,20.8,1.0,1
2015-04-05,13.5,25.4,18.5,4.1,1
2015-04-06,10.5,26.3,16.1,0.0,0
2015-04-12,19.5,31.3,23.3,4.1,1
2015-04-29,16.9,27.4,19.8,0.0,0
2015-05-20,13.7,28.0,20.4,0.0,0
2015-05-24,12.0,17.6,13.8,0.0,0
2015-05-25,10.9,13.1,11.7,7.1,1
2015-05-29,9.9,21.0,14.4,0.0,0
2015-06-26,10.2,20.4,14.3,0.0,0
2015-06-28,12.8,22.2,17.3,0.8,1
2015-08-11,8.8,16.6,11.4,0.0,0
2015-08-13,7.4,13.0,9.6,0.3,1
2015-09-08,10.5,26.8,15.1,5.1,1
2015-09-22,11.5,25.5,13.6,2.0,1
2015-09-25,10.9,20.4,12.9,0.0,0
2015-10-10,7.7,16.6,11.4,0.0,0
2015-10-26,14.0,25.5,17.9,0.0,0
2015-10-27,13.3,21.5,17.2,0.0,0
2015-10-29,15.6,31.5,19.3,2.0,1
2015-11-01,9.0,14.4,11.4,13.0,1
2015-11-03,12.8,23.5,16.2,0.0,0
2015-11-09,17.8,32.0,22.9,0.0,0
2015-11-10,14.5,31.7,17.1,23.9,1
2015-11-13,9.9,30.2,20.4,0.0,0
2015-11-17,17.1,32.4,22.2,0.0,0
